Name,cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
PFE,1,0.019512504362528,-0.0018195055158815,28269597.35,0.4043518931599715,-0.039274924471299,0.0194396798170383,0.0147058823529382,0.3497999999999999,839622.6986849629
CMS,0,0.0102033829083442,-0.0039845503804955,3058895.35,0.3563681835494056,-0.0776635309560272,0.0161290322580645,0.1323529411764652,0.4216,81663.99430740038
LUV,0,0.0191216871118979,-0.003552526319417,5799782.6,0.3528860991007642,-0.0719781981404296,0.0198652617032302,0.0,0.5789,77270.18483330455
MNST,0,0.0171396562522236,-0.0005748413078982,2561173.05,0.2431877729404828,-0.0142028100183263,0.023702556158017,0.6339869281045739,0.6455,45408.05577072038
DTE,0,0.0096955739884623,-0.0030789199644685,1620829.1,0.4018502616610179,-0.0606548069644209,0.0152110405963532,0.1523178807946961,0.9927,11658.094086833888
CI,0,0.0214150840173735,-0.0028540175716498,1677742.8,0.6003646094689555,-0.0597969885024294,0.0202108063855915,0.2683544303797462,1.9544,8847.784486287352
PEP,0,0.0108237944364272,-0.0019196496811195,4383613.7,0.241824469762511,-0.0387872628726287,0.0266079295154184,0.2483443708609274,1.135,43448.63436123348
APA,0,0.0257612728409514,-0.0056179471566928,4333364.65,0.2707917064418162,-0.1122334455667789,0.0668065739570165,0.0832639467110736,0.3954999999999999,143498.91276864728
AKAM,-1,0.0156665685250455,-0.0021604134571714,2147454.7,0.8946591672114916,-0.0445991998814637,0.0673076923076923,0.0391705069124427,0.6448,149425.2016129032
VNO,0,0.013113426768536,-0.0044697746735301,1346623.75,0.3890872474950786,-0.0872100908721009,0.0279346210995541,0.0106382978723383,0.6729999999999999,19547.578008915305
GILD,0,0.0234706607004536,0.0031627710553877,10477420.55,0.4128717253656643,0.0596670934699105,0.0631947800869986,0.6520076481835579,0.8276,245476.1116481392
ANSS,0,0.0143483050678405,6.235594023630831e-05,513665.7,0.2424034503786774,-0.0007090369988396,0.0217377281816421,0.1335311572700272,1.5503,2865.290588918274
HPQ,0,0.0195863272506523,-0.0012092880426104,9993050.75,0.3250814438363173,-0.0275103163686381,0.0225129655822724,0.340314136125658,0.2121,558179.5379537954
GRMN,0,0.0130021481852006,0.0027117460646837,1295644.9,0.4183141956627042,0.0539682539682539,0.0435954343690551,0.7199999999999989,0.6308,25841.50285351934
MAS,0,0.0155985918886416,-0.0029894318338239,3100397.8,0.2620234542307202,-0.0603125687871451,0.0290466151323495,0.4999999999999971,0.4269,106709.4167252284
EMN,0,0.0109574879110073,0.0009286747424291,1416881.15,0.5880904241910688,0.0175799321476303,0.0205091937765205,0.3054187192118247,0.9898,16148.242069104868
WM,0,0.0141701651465793,-0.0034151150627997,2019047.9,0.579803776948739,-0.0679667008780932,0.02251315306497,0.054347826086961,0.8173,34775.12541294506
IPG,0,0.0181040593443073,0.0025378848406134,5133943.25,0.3429171984238259,0.0487444608567209,0.0342723004694835,0.4931506849315057,0.213,215922.676056338
AMG,0,0.0198781918752711,-0.0030019501739454,439707.85,0.4295060881023006,-0.0619164128426624,0.0249108426039282,0.2564102564102596,1.8787,3140.549316016394
TIF,0,0.014922584352801,-0.0015424658349295,1476421.95,0.4292899246301075,-0.0324760653275765,0.0312863795110594,0.2806201550387593,1.0308,9454.734187039194
VLO,0,0.0158478858403192,-0.0021938044778917,3560804.15,0.4099506515255721,-0.045270988310308,0.0301647373107746,0.0,0.8984000000000001,48358.41495992876
PSA,0,0.0129649349139425,-0.0040015644535446,1127245.1,0.3967194777582788,-0.0785483470047229,0.0262206636093877,0.3271604938271603,1.8535,5512.047477744807
ZBH,0,0.0114970160362589,-0.0013282867019692,1585719.55,0.3372403536311005,-0.0274579273693533,0.023017055803941,0.0143884892086353,1.2078,9482.256996191423
WYN,0,0.0211749036729574,0.0025196982362142,1126642.85,0.4315313392732546,0.0471906148010937,0.0199629380053908,0.1308016877637138,1.1872,6661.017520215633
TXN,0,0.0293936615090867,-0.003536104760461,7845181.85,0.3940820598135892,-0.0761844369961046,0.0369680329476368,0.0185676392572963,1.0198,98147.76426750344
DIS,0,0.014105271086892,-0.0023150807800527,8936850.1,0.3452341330170403,-0.0471166090594869,0.0345551737304315,0.0966850828729304,1.0476,118795.1699121802
MS,0,0.0199612155666352,0.0013512671697899,10742205.15,0.2973354529427587,0.023452157598499,0.0333638863428047,0.3626373626373607,0.5455,211580.8065994501
WAT,0,0.0150133109639639,-0.0015888710728626,595449.4,0.4434533896149005,-0.0334035222052068,0.0154223190414893,0.0353130016051315,2.0198,1927.3640954549955
BLK,0,0.0196130787452385,2.6178199487791875e-05,798498.55,0.2788614087048248,-0.0031464209461738,0.0181490249126366,0.0269151138716347,5.3226,1263.3224364032617
ROK,0,0.0167951925750956,-0.0034274996870378,934183.4,0.34436080655701,-0.0689025893958076,0.0232545820531835,0.3507972665148056,1.8878,5213.423032100858
KSS,0,0.0243522546832854,0.0052154433256459,3904052.6,0.3215266342158469,0.1034724658014731,0.0247933884297521,0.3141025641025649,0.6292,48908.75715193897
SIG,0,0.0277358489079727,-0.0056626281643955,2245793.65,0.8254976003164745,-0.1139777345820816,0.0319106501794974,0.4249999999999994,0.5014,34794.69485440766
BK,0,0.0195246355879237,-1.5926715052094754e-05,5437885.2,0.4275371881211047,-0.0039596832253419,0.017979761474521,0.1306532663316612,0.5534,110656.34260932416
QRVO,-1,0.0457713408406897,0.0071491181803769,3093060.0,0.7283328034567164,0.1317391304347826,0.0249711870918171,0.0102564102564154,0.7809,46344.28223844282
TWX,0,0.0065505984329363,0.0015318127321195,5146161.6,0.4238743332445041,0.0306675335934113,0.0158763536957208,0.0993377483443742,0.9511,54597.792030280725
KEY,0,0.0170864955480675,0.0010729773023863,11273181.55,0.3096884749750813,0.0188042430086789,0.0283956460009464,0.4666666666666643,0.2113,579090.2508282064
MAR,0,0.0168109608058082,0.0008318209196903,2109093.0,0.3477203153891976,0.014014958971752,0.029432111142939,0.2384242925618589,1.3964,12936.08564881123
COL,0,0.0076645244855012,-0.0009006660769954,1317548.3,0.4389036516941869,-0.0184138031027982,0.0161742983751846,0.3424657534246579,1.354,12279.47562776957
ULTA,0,0.0173003654863313,-0.0031477335141676,1192888.95,0.3706198887380342,-0.0637987291773999,0.021828854443731,0.2415966386554638,2.1806,3455.562689168119
FOX,0,0.0177524493917597,-0.0005171017139607,3638223.8,0.4121398879885061,-0.0132669983416251,0.0375350140056023,0.0597014925373173,0.357,112162.96918767506
IR,0,0.0171648253240467,0.0003061987377808,2078567.1,0.4648480176496262,0.0033006931455605,0.026976642175677,0.0162601626016228,0.9119,23139.32448733414
D,0,0.0085701323101991,-0.0022481605190311,5201938.0,0.2699021165573884,-0.0446833311747181,0.0196583514099781,0.248275862068967,0.7376,66619.7532537961
MGM,0,0.0201906013153045,0.0017323784069655,8625403.85,0.3506863389587585,0.031222123104371,0.0259515570934255,0.1222222222222217,0.3468,193128.22952710497
ADM,0,0.0170324170913377,0.0025302324116398,4072467.25,0.3136107447835977,0.0489806066633515,0.020858023228253,0.0227272727272683,0.4219,108741.55013036264
DPS,-1,0.0504073591381087,0.0116820452019404,3474358.7,1.536068685448151,0.2353433835845896,0.0097457627118644,0.0,1.18,25269.27118644068
